Mar	Temp Max	Temp Avg	Temp Min	Dew Point Max	Dew Point Avg	Dew Point Min	Humid Max	Humid Avg	Humid Min	Wind Speed Max	Wind Speed Avg	Wind Speed Min	New cases
1	37	29.2	19	30	19.6	12	81	68	56	14	8	3	4
2	43	38.5	34	41	36.7	28	100	93.6	70	16	8	0	6
3	41	37.5	34	39	35.7	32	100	92.9	81	17	9.8	0	10
4	43	38.1	36	32	28.9	23	81	69.7	56	23	15.9	0	5
5	39	35.6	32	30	24.4	19	81	65	56	17	9.8	5	10
6	39	36.1	34	32	28.2	19	93	74.1	56	23	11.4	3	8
7	37	30.8	23	30	17.7	10	81	59.1	47	20	11.4	6	10
8	45	40	34	36	32.1	27	81	74.4	61	16	10.4	0	8
9	50	45.8	41	43	36.9	32	93	71.5	61	20	9.8	0	16
10	52	43.6	34	45	39.5	23	100	86.3	56	22	10.6	0	19
11	37	34.1	28	30	27.2	25	93	76.1	60	21	10.4	0	24
12	41	36.3	34	37	31.3	28	93	83.1	81	24	15.7	12	28
13	48	42.8	39	45	36.2	23	100	79.9	49	40	17.4	0	42
14	39	36.5	34	28	24.6	23	70	61.7	56	17	12.3	6	45
15	36	33	28	23	14.6	7	65	47.9	32	13	8.6	2	33
16	36	34	30	32	24	12	93	69.7	41	20	8.5	0	53
17	46	39.1	34	37	34.1	21	100	83	42	24	13.3	5	84
18	39	35.6	30	28	23.7	19	70	62.3	52	24	12.4	2	68
19	41	39.9	37	39	36.1	30	93	86.5	75	21	14.7	6	51
20	59	43.2	28	55	40	19	100	89.4	64	35	14.8	0	65
21	30	26.2	19	19	14.4	7	69	60.7	40	21	9.2	2	63
22	36	29.4	25	25	17	10	69	60.4	54	24	17	8	35
23	39	35	32	37	33.3	27	100	93.8	70	22	10.7	3	67
24	41	37.9	36	36	31.7	30	93	78.1	70	12	6.2	2	65
25	43	38.5	37	37	34.4	32	93	84	76	22	13.2	3	68
26	55	42.2	36	45	38.5	34	100	86.5	67	17	5.5	0	88
27	45	39.6	37	36	33.3	32	87	77.7	66	10	6.6	2	73
28	43	40.3	39	41	36.4	32	100	86	75	29	21.2	9	56
29	61	44.3	41	50	41.9	39	100	92.4	52	38	22.2	3	63
30	46	44.7	43	41	39.1	36	93	81.8	71	21	12.1	6	79
31	43	41.7	39	41	39.5	36	100	92.5	76	23	13.7	2	84
